Na2O,MgO,Al2O3,SiO2,K2O,CaO,TiO2,Y2O3,Density293K
37.57118322,0,0.649311519,61.77950526,0,0,0,0,2.516
36.49919069,0,13.49999183,50.00081749,0,0,0,0,2.545
0,0,0,62.399688,37.600312,0,0,0,2.516
37.600312,0,0,62.399688,0,0,0,0,2.744
24.94040403,0,0,47.49969351,0,27.55990247,0,0,2.761
30.33925044,0,0,53.91054704,0,15.75020253,0,0,2.63
0,0,0,62.499625,37.500375,0,0,0,2.481
37.500375,0,0,62.499625,0,0,0,0,2.514
31.41218638,0,0,55.08243728,0,13.50537634,0,0,2.587
31.42136056,0,0,55.0705518,0,13.50808764,0,0,2.585
33.00338176,0,0,57.27514187,0,9.721476364,0,0,2.588
35.99986728,0,15.89966489,48.10046783,0,0,0,0,2.45
0,5.000221249,0,59.999705,35.00007375,0,0,0,2.486
21.55992559,0,0,44.18017539,0,34.25989902,0,0,2.784
25.77021955,0,0,49.18956818,0,25.04021227,0,0,2.71
24.6400072,0,0,62.77974441,12.5802484,0,0,0,2.566
37.200372,0,0,62.799628,0,0,0,0,2.507
25.29968627,0,0,48.70056033,0,25.9997534,0,0,2.718
37.0993145,0,0,62.9006855,0,0,0,0,2.508
36.9996225,0,0.999622499,62.000755,0,0,0,0,2.506
21.99927911,0,0,44.99979975,0,33.00092114,0,0,2.78
25.00035625,0,5.000356252,44.99893124,0,25.00035625,0,0,2.71
36.44105782,0,4.559575882,58.9993663,0,0,0,0,2.52
0,9.740094604,15.94018616,6.490005595,0,67.82971365,0,0,2.95
36.7603162,0,0,63.2396838,0,0,0,0,2.521
36.7003165,0,0,63.2996835,0,0,0,0,2.511
36.59926801,0,0,43.100138,0,0,20.30059399,0,2.75
6.999672402,0,34.999922,0,0,58.0004056,0,0,2.88
36.5103651,0,0,63.4896349,0,0,0,0,2.508
36.4993175,0,0,63.5006825,0,0,0,0,2.5045
33.22596703,0,0,59.59415537,0,7.179877602,0,0,2.562
35.8302554,0,7.170137525,56.99960707,0,0,0,0,2.519
33.63984899,0,0,60.14953655,0,6.210614451,0,0,2.571
0,0,0,44.450111,36.44927101,0,19.10061799,0,2.611
36.4203642,0,0,63.5796358,0,0,0,0,2.506
0,0,24.96976028,0,0,75.03023972,0,0,2.41
0,25.01031211,0,49.99037536,24.99931253,0,0,0,2.48
35.18645255,0,9.509636963,54.60361923,0,0.700291258,0,0,2.53
25,0,0,50,0,25,0,0,2.718
0,0,0,57.10063822,35.69968875,0,0,7.199673028,2.754
35.69968875,0,0,57.10063822,0,0,0,7.199673028,2.854
27.44968796,0,0,53.03975878,0,19.51055326,0,0,2.664
36.13015777,0,1.700546117,62.16929612,0,0,0,0,2.511
0,0,0,60.96945923,33.96941499,5.061125776,0,0,2.521
36.23927521,0,0,50.4199916,0,0,13.34073319,0,2.666
35.6738109,0,6.100435522,58.22575358,0,0,0,0,2.518
36.2203189,0,0,63.7796811,0,0,0,0,2.505
36.1503615,0,0,63.8496385,0,0,0,0,2.508
35.299853,0,0,63.8796388,0.820508205,0,0,0,2.508
0,0,0,50.35072759,24.72973345,24.91953897,0,0,2.658
22.14990889,0,59.45090814,0,0,18.39918297,0,0,2.52
0,0,0,48.65989475,23.30056161,28.03954364,0,0,2.672
6.000060001,0,30.0003,3.99903999,0,60.00060001,0,0,2.95
34.00044512,0,21.19977402,44.79978086,0,0,0,0,2.364
35.38019907,0,6.00954788,58.61025305,0,0,0,0,2.516
30.10634947,0,0,64.19367903,5.6999715,0,0,0,2.509
35.7498575,0,0,64.2396424,0.010500105,0,0,0,2.498
29.999853,0,3.000279301,54.9987505,0,12.0011172,0,0,2.62
35.68932155,0,0,64.31067845,0,0,0,0,2.505
25.86737066,0,0,64.37367813,9.758951205,0,0,0,2.511
0,0,0,63.90035289,35.16059573,0.939051379,0,0,2.481
35.5803558,0,0,39.36939369,0,0,25.0502505,0,2.799
34.0000996,0,16.0007304,49.99917,0,0,0,0,2.53
27.29988305,0,0,54.50113427,0,18.19898268,0,0,2.746
27.29988305,18.19898268,0,54.50113427,0,0,0,0,2.946
0,0,0,6.960069601,35.4903549,0,57.5495755,0,2.801
5.000232497,0,35.0000775,0,0,59.99969,0,0,2.895
35.0000775,0,0,59.99969,0,0,0,5.000232497,2.75
0,0,0,62.00002953,33.29888231,4.70108816,0,0,2.496
0,0,0,55.399892,35.33929321,0,9.260814784,0,2.55
35.2993235,0,0,64.7006765,0,0,0,0,2.505
35.29032355,0,0,64.70967645,0,0,0,0,2.502
34.52271416,0,5.951062801,59.52622304,0,0,0,0,2.502
0,0,0,65.000675,34.999325,0,0,0,2.475
8.999955,0,0,65.000675,25.99937,0,0,0,2.51
17.50015,0,0,64.99970001,17.50015,0,0,0,2.515
25.99937,0,0,65.000675,8.999955,0,0,0,2.513
28.56959186,14.29122441,0,57.13918373,0,0,0,0,2.467
34.999325,0,0,29.99985,0,0,35.000825,0,2.926
34.999325,0,0,35.000825,0,0,29.99985,0,2.8645
35.00037501,0,0,40,0,0,24.99962499,0,2.817
34.999325,0,0,44.999775,0,0,20.0009,0,2.746
34.999325,0,0,50.00075,0,0,14.999925,0,2.696
35.00037501,0,0,55.00037501,0,0,9.999249981,0,2.635
34.999325,0,0,59.9997,0,0,5.000974995,0,2.567
34.999325,0,0,65.000675,0,0,0,0,2.497
33.33,0,16.67,50,0,0,0,0,2.53
34.14997085,0,3.910348848,60.93946553,0,1.00021477,0,0,2.5
23.01004716,0,0,50.38069852,0,26.60925432,0,0,2.719
32.54383728,0,0,65.01567492,2.440487798,0,0,0,2.504
34.9503495,0,0,65.0496505,0,0,0,0,2.494
0,0,0,13.6801368,34.8903489,0,51.4295143,0,2.773
6.999444099,0,40.000327,0,0,53.0002289,0,0,2.853
0,0,0,60.62969685,34.81032595,0,4.5599772,0,2.512
5.000711002,0,37.0005214,0,0,57.9987676,0,0,2.88
33.23023669,0,10.78027596,54.93822214,0,1.051265204,0,0,2.514
34.78932605,0,0,65.21067395,0,0,0,0,2.5
0,0,0.699258545,64.60003617,34.70070529,0,0,0,2.47
34.45955247,0,2.950398434,62.5900491,0,0,0,0,2.503
18.1004095,0,0,65.24967375,16.64991675,0,0,0,2.499
23.52966609,0,5.879894508,47.05933217,0,23.53110724,0,0,2.693
32.99887223,0,15.85013931,51.15098846,0,0,0,0,2.435
30.09683405,0,0,59.82546677,0,10.07769918,0,0,2.583
33.9999688,0,5.999719202,60.000312,0,0,0,0,2.421
34.5903459,0,0,65.4096541,0,0,0,0,2.497
0,0,14.9999175,52.00059399,32.99948851,0,0,0,2.504
32.99948851,0,14.9999175,52.00059399,0,0,0,0,2.521
34.5403273,0,0,65.4596727,0,0,0,0,2.498
32.90003813,0,15.80090528,51.29905659,0,0,0,0,2.435
21.22939385,0,0,65.4806726,13.28993355,0,0,0,2.504
0,0,2.100508016,63.59930642,34.30018556,0,0,0,2.47
0,9.999130006,0,60.00058,30.00029,0,0,0,2.493
24.9996375,0,4.999637497,49.99927499,0,20.00145001,0,0,2.66
30.00029,0,0,60.00058,0,9.999130006,0,0,2.584
30.00029,9.999130006,0,60.00058,0,0,0,0,2.519
27.55975004,0,0,57.12943588,0,15.31081408,0,0,2.626
33.3001013,0,10.7993375,55.90056119,0,0,0,0,2.512
22.52981727,0,0,51.02035234,0,26.4498304,0,0,2.712
32.50029313,0,17.50054438,49.99916249,0,0,0,0,2.534
0,0,0,20.16950424,34.31035776,0,45.520138,0,2.759
34.3003285,0,0,65.6996715,0,0,0,0,2.495
0,0,0,65.7096571,34.2903429,0,0,0,2.477
0,0,0,64.99970001,34.19931601,0,0.80098398,0,2.485
0,0,3.399398662,62.79990182,33.80069952,0,0,0,2.47
34.1593292,0,0,65.8406708,0,0,0,0,2.493
27.0000852,16.00068161,0,56.99923319,0,0,0,0,2.505
27.39245215,0,0,65.92668147,6.680866383,0,0,0,2.5
0,0,10.00016,56.99931199,33.00052801,0,0,0,2.489
33.00052801,0,10.00016,56.99931199,0,0,0,0,2.512
33.0598347,0,0,65.9396703,1.000494998,0,0,0,2.496
33.60027157,0,4.300328658,62.09939977,0,0,0,0,2.499
33.37026749,0,6.059802116,60.5699304,0,0,0,0,2.501
32.38291897,0,15.1912117,52.42586933,0,0,0,0,2.523
13.99964,0,0,66.00066001,19.9997,0,0,0,2.49
34.00033,0,0,65.99967,0,0,0,0,2.489
33.9793301,0,0,66.0206699,0,0,0,0,2.494
29.48700886,0,2.53020422,58.6841755,0,9.298611419,0,0,2.479
33.900339,0,0,66.099661,0,0,0,0,2.496
2.000122801,0,34.9998465,0,0,63.0000307,0,0,2.91
32.9999526,0,7.999557599,59.0004898,0,0,0,0,2.507
5.000162501,0,39.999675,0,0,55.0001625,0,0,2.87
0,0,4.699730825,61.99993812,33.30033105,0,0,0,2.47
33.799331,0,0,66.200669,0,0,0,0,2.491
32.9999686,0,7.000659403,59.999372,0,0,0,0,2.499
0,0,0,26.45047099,33.74932501,0,39.800204,0,2.726
33.64911065,0,0.609967318,65.74092203,0,0,0,0,2.491
0,0,0,64.20034655,31.99946685,3.800186603,0,0,2.502
23.5603822,0,0,66.3596682,10.0799496,0,0,0,2.498
7.00035595,0,44.0005424,0,0,48.99910165,0,0,2.839
0,0,32.50033469,0,0,67.49966531,0,0,2.92
31.59995285,0,18.39920516,50.00084199,0,0,0,0,2.526
20.47012998,0,0,50.02907881,0,29.50079121,0,0,2.741
33.58933205,0,0,66.41066795,0,0,0,0,2.491
0,0,5.000310001,62.000124,32.999566,0,0,0,2.474
32.999566,0,5.000310001,62.000124,0,0,0,0,2.501
33.4993325,0,0,66.5006675,0,0,0,0,2.497
0,0,5.999812798,61.19933855,32.80084865,0,0,0,2.47
33.0001848,0,3.99932241,63.00049279,0,0,0,0,2.495
16.7399163,0,0,66.5606672,16.6994165,0,0,0,2.481
0,5.899739717,0,63.30014852,30.80011176,0,0,0,2.483
31.0995212,0,21.000342,47.9001368,0,0,0,0,2.436
0,0,0,66.59066705,33.40933295,0,0,0,2.5
0,0.840637808,0,66.12319383,33.03616837,0,0,0,2.478
13.40993295,0,0,66.59066705,19.9994,0,0,0,2.463
19.9994,0,0,66.59066705,13.40993295,0,0,0,2.462
0,0,0,64.4996775,33.400333,0,2.0999895,0,2.494
16.699667,0,0,66.60066601,16.699667,0,0,0,2.469
33.34933325,0,0,66.65066675,0,0,0,0,2.488
0,0,33.29934472,0,0,66.70065528,0,0,2.88
16.66816668,0,0,66.66366664,16.66816668,0,0,0,2.4665
19.99838004,15.00890977,0,49.99460014,0,14.99811005,0,0,2.654
22.22272223,0,11.11061111,44.44544445,0,22.22122221,0,0,2.679
20,29.99932501,0,50.00067499,0,0,0,0,2.57
33.33333333,0,0,33.33333333,0,0,33.33333333,0,2.8965
0,0,0,66.6696667,33.3303333,0,0,0,2.4605
10.00060001,0,0,66.6696667,23.3297333,0,0,0,2.467
23.3297333,0,0,66.6696667,10.00060001,0,0,0,2.483
33.3303333,0,0,0,0,0,66.6696667,0,3.02
33.3303333,0,0,66.6696667,0,0,0,0,2.4895
33.31033345,0,0,66.68966655,0,0,0,0,2.501
0,0,0,0,33.300333,0,66.699667,0,2.799
0,0,0,66.699667,33.300333,0,0,0,2.453
7.999579996,0,0,66.699667,25.30075301,0,0,0,2.48
8.299582996,0,0,66.699667,25.00075001,0,0,0,2.48
8.400084001,0,0,66.699667,24.900249,0,0,0,2.161
16.60066601,0,0,66.699667,16.699667,0,0,0,2.49
19.30069301,0,0,66.699667,13.99964,0,0,0,2.179
20.80070801,0,0,66.699667,12.499625,0,0,0,2.488
22.00072001,0,0,66.699667,11.299613,0,0,0,2.176
24.900249,0,0,66.699667,8.400084001,0,0,0,2.206
25.00075001,0,0,66.699667,8.299582996,0,0,0,2.487
25.30075301,0,0,66.699667,7.999579996,0,0,0,2.48
33.300333,0,0,66.699667,0,0,0,0,2.489
21.69983155,0,0,52.2001123,0,26.10005615,0,0,2.835
21.69983155,26.10005615,0,52.2001123,0,0,0,0,2.95
16.61866619,0,0,66.76266763,16.61866619,0,0,0,2.18
32.08321561,0,0,65.32633426,0,2.590450132,0,0,2.509
32.9999544,0,2.000273594,64.99977201,0,0,0,0,2.492
0,0,7.199786207,60.39960385,32.40060994,0,0,0,2.47
33.20233399,0,0,66.79766601,0,0,0,0,2.46914
0,0,19.22178361,10.87032412,0,69.90789226,0,0,2.85
32.79565759,0,3.485922532,63.71841988,0,0,0,0,2.506
33.16933415,0,0,66.83066585,0,0,0,0,2.491
32.81331333,0,3.100217398,64.08646927,0,0,0,0,2.497
33.1503315,0,0,66.8496685,0,0,0,0,2.49
31.68249258,0,0,65.05637982,0,3.261127596,0,0,2.517
32.6700345,0,4.019837358,63.31012814,0,0,0,0,2.497
16.1399193,0,0,66.89066555,16.96941515,0,0,0,2.492
33.1003345,0,0,66.8996655,0,0,0,0,2.489
32.53931473,0,4.479871474,62.98081379,0,0,0,0,2.501
32.74305238,0,2.530429212,64.72651841,0,0,0,0,2.497
33.01033495,0,0,66.98966505,0,0,0,0,2.478
0,0,0,66.99967,33.00033,0,0,0,2.462
16.500165,0,0,66.99967,16.500165,0,0,0,2.48309
19.9997,0,0,66.99967,13.00063001,0,0,0,2.5
33.00033,0,0,66.99967,0,0,0,0,2.48803
0,3.820637365,0,64.87975358,31.29960905,0,0,0,2.478
21.99961472,24.80116685,0,53.19921843,0,0,0,0,2.49
32.80020618,0,1.599381471,65.60041235,0,0,0,0,2.487
32.9593352,0,0,67.0406648,0,0,0,0,2.485
0,0,7.999683994,60,32.00031601,0,0,0,2.501
32.00031601,0,7.999683994,60,0,0,0,0,2.5
0,0,0,62.3006885,32.8993355,0,4.799976,0,2.509
32.89033555,0,0,67.10966445,0,0,0,0,2.494
0,8.480184238,0,62.41345635,29.10635941,0,0,0,2.44
32.7903279,0,0,67.2096721,0,0,0,0,2.486
0,0,35.00068626,0,0,64.99931374,0,0,2.897
25,0,9.999694992,45.00091502,0,15.00030501,4.999084975,0,2.67
30.0001525,4.999008738,5.000533756,60.000305,0,0,0,0,2.51
0,0,0,67.2396724,32.7603276,0,0,0,2.467
