O,Na,Mg,Al,Si,Ca,YoungModulus
55.3550415,20.14796066,0,0,20.78406906,3.712922096,58.90000153
66.66665649,0,0,0,33.33332825,0,68.80000305
60,13.33333015,0,0,26.66666985,0,67.90000153
58.33332825,16.66666985,0,0,25,0,65.59999847
56.66667175,20,0,0,23.33333015,0,65.59999847
55,23.33333015,0,0,21.66666985,0,67.19999695
53.33332825,26.66666985,0,0,20,0,68.19999695
51.66667175,30,0,0,18.33333015,0,69.90000153
66.66665649,0,0,0,33.33332825,0,66
61.11000061,11.11332989,0,0,27.77667046,0,59
60.28369141,8.510638237,6.382978916,0,24.82268906,0,66.80000305
60.28369141,8.510638237,0,0,24.82268906,6.382978916,77.69999695
62.32876968,6.849315166,0,0,28.08218956,2.739726067,70.5
61.1301384,9.246575356,0,0,26.88356018,2.739726067,69.09999847
60.27397156,10.95890045,0,0,26.02739906,2.739726067,68
59.24657059,13.01369953,0,0,25,2.739726067,67.09999847
58.39041138,14.72603035,0,0,24.14384079,2.739726067,66.40000153
60.56837845,7.815275192,0,0,25.04439926,6.571936131,75.19999695
62.06896973,6.896552086,0,0,27.58621025,3.448276043,71.69999695
62,3.272727013,0,0,25.63636017,9.090909004,79.09999847
61.60557938,6.980803013,0,0,26.70157051,4.712041855,73.90000153
60,7.272727013,0,0,23.63636017,9.090909004,79.69999695
61.06195068,7.079646111,0,0,25.66371918,6.194690228,75.09999847
59.20138931,12.15277958,0,0,24.47916985,4.166666985,70.30000305
60.78430939,7.130125046,0,0,25.13368988,6.951871872,76.19999695
61.33094025,5.395682812,0,0,25.35971069,7.913669109,77.80000305
61.87174988,6.93240881,0,0,27.20970917,3.986135006,72.19999695
61.40351105,7.017543793,0,0,26.31579018,5.263157845,74.30000305
59.63302994,7.339448929,0,0,22.93577957,10.09173965,80.59999847
61.47079849,6.685432911,0,0,26.28430939,5.559464931,75.30000305
60.48329926,7.960198879,0,0,24.94669914,6.609807968,75.80000305
61.33332825,10.66666985,0,0,28,0,61
56,21.33333015,0,0,22.66666985,0,58.5
66.66665649,0,0,0,33.33332825,0,73.19999695
61.66667175,10,0,0,28.33333015,0,62.29999924
61.29032135,9.677419662,0,3.225805998,25.80644989,0,65.30000305
60.9375,9.375,0,6.25,23.4375,0,70.90000153
60.60606003,9.090909004,0,9.090909004,21.21212006,0,71.90000153
60.29412079,8.823529243,0,11.76471043,19.11764908,0,73.69999695
60,8.571428299,0,14.28571033,17.14286041,0,77.30000305
58.33332825,16.66666985,0,0,25,0,59.09999847
58.06452179,16.12903023,0,3.225805998,22.58064079,0,63.5
57.8125,15.625,0,6.25,20.3125,0,67
57.57575989,15.15151978,0,9.090909004,18.18181992,0,68.40000153
57.35293961,14.70588017,0,11.76471043,16.1764698,0,70.90000153
57.14286041,14.28571033,0,14.28571033,14.28571033,0,73.90000153
56.94443893,13.88889027,0,16.66666985,12.5,0,78.5
55,23.33333015,0,0,21.66666985,0,59
56.45161057,19.35483932,0,3.225805998,20.96773911,0,63.40000153
59.09091187,12.1212101,0,9.090909004,19.69696999,0,71.30000305
59.70148849,10.44775963,0,10.44775963,19.4029808,0,71.19999695
61.28982162,0,0,0,22.57965088,16.1305294,87.19999695
60.5195694,0,0,0,21.03912926,18.44131088,89.80000305
59.72288895,0,0,0,19.44578934,20.83131981,92.59999847
62.39862061,0,0,2.148024082,23.7232399,11.73011017,87.19999695
62.03488159,0,0,4.304695129,21.91741943,11.74300957,90.09999847
61.30707169,0,0,8.62898922,18.29964066,11.76430035,93.30000305
60.57580948,0,0,12.96570969,14.66876984,11.78969955,98.80000305
59.84252167,0,0,17.3228302,11.02361965,11.8110199,103
59.10578918,0,0,21.69405937,7.364562988,11.83557987,108
58.26667023,16.79999924,0,0,24.93333054,0,59.20000076
58.46665955,16.39999962,0,0,25.13332939,0,59.09999847
58.22367859,16.44737053,0,1.315788984,24.01316071,0,60.09999847
58.38187027,15.59869957,0,2.912621021,23.10679054,0,60.40000153
58.0128212,16.02564049,0,3.846153975,22.11539078,0,61.5
57.71374893,15.55142021,0,7.063196182,19.67161942,0,65
57.78712845,14.49188042,0,9.801563263,17.91942024,0,66.40000153
57.14286041,14.28571033,0,14.28571033,14.28571033,0,69.09999847
59.13132095,13.33788967,0,0,24.93160057,2.599179029,66.59999847
59.59595871,12.1212101,0,1.346801043,24.57912064,2.356901884,67.59999847
58.79430008,13.05068016,0,3.113614082,22.55714035,2.484266043,69.5
59.34426117,11.80327988,0,3.934426069,22.6229496,2.295082092,70
59.02799988,11.71547985,0,5.857740879,20.98487091,2.413903952,70.40000153
59.1054306,11.50160027,0,6.38977623,20.76676941,2.236422062,72.19999695
58.84532166,10.80580044,0,9.756097794,18.21549988,2.377276897,72.80000305
58.17601013,10.39791012,0,15.16119957,13.97037983,2.29451108,76.09999847
55.66667175,22,0,0,22.33333015,0,59.90000153
55.59210968,21.71052933,0,1.315788984,21.38158035,0,60.70000076
55.51948166,21.42856979,0,2.597403049,20.45454979,0,62.09999847
55.41400909,21.01910973,0,4.458599091,19.10828018,0,63.5
55.3797493,20.88607979,0,5.063291073,18.67089081,0,63.79999924
