Li,B,O,Na,Mg,Al,Si,P,K,Ca,Ti,Zn,Y,Zr,Sn,Density293K
0,0.079754593,0.631901835,0.00613497,0,0,0.245398785,0,0.036809818,0,0,0,0,0,0,2.329999924
0,0.079754594,0.631901842,0,0,0,0.245398788,0,0.042944776,0,0,0,0,0,0,2.329999924
0,0.079754598,0.625766889,0.055214718,0,0,0.239263795,0,0,0,0,0,0,0,0,2.349999905
0,0.079754597,0.625766881,0.04907976,0,0,0.239263792,0,0.00613497,0,0,0,0,0,0,2.359999895
0,0.079754598,0.625766889,0.042944778,0,0,0.239263795,0,0.01226994,0,0,0,0,0,0,2.369999886
0,0.079754597,0.625766881,0.03680982,0,0,0.239263792,0,0.01840491,0,0,0,0,0,0,2.380000114
0,0.079754597,0.625766881,0.03067485,0,0,0.239263792,0,0.02453988,0,0,0,0,0,0,2.380000114
0,0.079754597,0.625766881,0.02453988,0,0,0.239263792,0,0.03067485,0,0,0,0,0,0,2.380000114
0,0.079754597,0.625766881,0.01840491,0,0,0.239263792,0,0.03680982,0,0,0,0,0,0,2.380000114
0,0.079754598,0.625766889,0.01226994,0,0,0.239263795,0,0.042944778,0,0,0,0,0,0,2.380000114
0,0.079754597,0.625766881,0.00613497,0,0,0.239263792,0,0.04907976,0,0,0,0,0,0,2.380000114
0,0.079754598,0.625766889,0,0,0,0.239263795,0,0.055214718,0,0,0,0,0,0,2.380000114
0,0.079754605,0.61963192,0.067484664,0,0,0.23312881,0,0,0,0,0,0,0,0,2.410000086
0,0.079754605,0.61963192,0.055214723,0,0,0.23312881,0,0.012269941,0,0,0,0,0,0,2.420000076
0,0.079754605,0.61963192,0.042944782,0,0,0.23312881,0,0.024539882,0,0,0,0,0,0,2.430000067
0,0.079754605,0.619631913,0.030674852,0,0,0.233128807,0,0.036809823,0,0,0,0,0,0,2.430000067
0,0.079754605,0.619631913,0.018404911,0,0,0.233128807,0,0.049079764,0,0,0,0,0,0,2.430000067
0,0.079754605,0.61963192,0,0,0,0.23312881,0,0.067484664,0,0,0,0,0,0,2.420000076
0,0.079754601,0.613496895,0.079754601,0,0,0.226993904,0,0,0,0,0,0,0,0,2.440000057
0,0.079754601,0.613496896,0.073619628,0,0,0.226993905,0,0.00613497,0,0,0,0,0,0,2.440000057
0,0.079754601,0.613496895,0.06748466,0,0,0.226993904,0,0.01226994,0,0,0,0,0,0,2.450000048
0,0.0797546,0.613496893,0.061349692,0,0,0.226993904,0,0.018404911,0,0,0,0,0,0,2.450000048
0,0.079754601,0.613496895,0.05521472,0,0,0.226993904,0,0.024539881,0,0,0,0,0,0,2.450000048
0,0.0797546,0.613496888,0.049079761,0,0,0.226993901,0,0.030674851,0,0,0,0,0,0,2.450000048
0,0.079754601,0.613496895,0.036809821,0,0,0.226993904,0,0.042944779,0,0,0,0,0,0,2.450000048
0,0.0797546,0.613496893,0.018404911,0,0,0.226993904,0,0.061349692,0,0,0,0,0,0,2.460000038
0,0.079754601,0.613496895,0.01226994,0,0,0.226993904,0,0.06748466,0,0,0,0,0,0,2.460000038
0,0.079754601,0.613496895,0,0,0,0.226993904,0,0.079754601,0,0,0,0,0,0,2.460000038
0,0.210526311,0.607894753,0.047368425,0,0,0.134210511,0,0,0,0,0,0,0,0,2.130000114
0,0.210526311,0.607894755,0.034210532,0,0,0.134210511,0,0.013157891,0,0,0,0,0,0,2.119999886
0,0.210526311,0.607894755,0.021052632,0,0,0.134210511,0,0.026315791,0,0,0,0,0,0,2.130000114
0,0.210526309,0.607894748,0.01052632,0,0,0.13421051,0,0.036842113,0,0,0,0,0,0,2.130000114
0,0.210526311,0.607894753,0,0,0,0.134210511,0,0.047368425,0,0,0,0,0,0,2.130000114
0,0.210526286,0.602631581,0.057894738,0,0,0.128947396,0,0,0,0,0,0,0,0,2.200000048
0,0.210526288,0.602631588,0.044736837,0,0,0.128947397,0,0.013157889,0,0,0,0,0,0,2.200000048
0,0.210526286,0.602631581,0.03157895,0,0,0.128947396,0,0.026315788,0,0,0,0,0,0,2.210000038
0,0.210526286,0.602631581,0.021052629,0,0,0.128947396,0,0.036842109,0,0,0,0,0,0,2.210000038
0,0.210526285,0.60263158,0.010526319,0,0,0.128947395,0,0.047368419,0,0,0,0,0,0,2.200000048
0,0.210526286,0.602631581,0,0,0,0.128947396,0,0.057894738,0,0,0,0,0,0,2.190000057
0,0.210526309,0.597368433,0.068421054,0,0,0.123684205,0,0,0,0,0,0,0,0,2.25999999
0,0.210526307,0.597368426,0.057894743,0,0,0.123684203,0,0.01052632,0,0,0,0,0,0,2.25999999
0,0.210526308,0.597368431,0.047368425,0,0,0.123684204,0,0.021052631,0,0,0,0,0,0,2.25999999
0,0.210526306,0.597368426,0.036842112,0,0,0.123684203,0,0.031578953,0,0,0,0,0,0,2.25999999
0,0.210526309,0.597368433,0.026315791,0,0,0.123684205,0,0.042105263,0,0,0,0,0,0,2.25
0,0.210526307,0.597368426,0.01052632,0,0,0.123684203,0,0.057894743,0,0,0,0,0,0,2.24000001
0,0.210526309,0.597368433,0,0,0,0.123684205,0,0.068421054,0,0,0,0,0,0,2.24000001
0,0.210526295,0.586842117,0.089473686,0,0,0.113157902,0,0,0,0,0,0,0,0,2.319999933
0,0.210526294,0.586842115,0.063157901,0,0,0.113157901,0,0.026315789,0,0,0,0,0,0,2.319999933
0,0.210526297,0.586842123,0.044736839,0,0,0.113157903,0,0.044736839,0,0,0,0,0,0,2.309999943
